滋賀	81.78	長野	 87.675
長野	81.75	岡山	 87.673
京都	81.40	島根	87.64
奈良	81.36	滋賀	87.57
神奈川	81.32	福井	87.54
福井	81.27	熊本	87.49
熊本	81.22	沖縄	87.44
愛知	81.10	富山	87.42
広島	81.08	京都	87.35
大分	81.08	広島	87.33
東京	81.07	新潟	87.32
石川	81.04	大分	87.31
岡山	81.03	石川	87.28
岐阜	81.00	鳥取	87.27
宮城	80.99	東京	87.26
千葉	80.96	奈良	87.25
静岡	80.95	神奈川	87.24
兵庫	80.92	山梨	87.22
三重	80.86	香川	87.21
香川	80.85	宮城	87.16
山梨	80.85	福岡	87.14
埼玉	80.82	宮崎	87.12
島根	80.79	佐賀	87.12
新潟	80.69	静岡	87.10
福岡	80.66	兵庫	87.07
佐賀	80.65	高知	87.01
富山	80.61	三重	86.99
群馬	80.61	長崎	86.97
山形	80.52	山形	86.96
山口	80.51	千葉	86.91
長崎	80.38	山口	86.88
宮崎	80.34	愛知	86.86
徳島	80.32	群馬	86.84
茨城	80.28	岐阜	86.82
北海道	80.28	愛媛	86.82
沖縄	80.27	鹿児島	86.78
高知	80.26	北海道	86.77
大阪	80.23	大阪	86.73
鳥取	80.17	埼玉	86.66
愛媛	80.16	徳島	86.66
福島	80.12	和歌山	86.47
栃木	80.10	岩手	86.44
鹿児島	80.02	福島	86.40
和歌山	79.94	秋田	86.38
岩手	79.86	茨城	86.33
秋田	79.51	栃木	86.24
青森	78.67	青森	85.93